Name,Sub-Domain,Description,Dataset Link,File Count,Category,Original Format,Original Size (MB),JSONL Size (MB),Total Lines,Cleaned Size (MB),Cleaned Lines,License,Last Updated,Uploaded?,Cleaned?,Verified?,Is Synthetic?,Date Added,Note
CSI_CNSA_2.0_FAQ_,Cryptography,U/OO/194427-22 | PP-24-4014 | December 2024 Ver. 2.1,https://media.defense.gov/2022/Sep/07/2003071836/-1/-1/0/CSI_CNSA_2.0_FAQ_.PDF,1,Document,PDF,0.42,0.05,21,0.047,21,NSA CNSA 2..0,-,Yes,Yes,Yes,,22/06/2026,
CSfC Post Quantum Cryptography Guidance Addendum 1_0 Draft _5,Cryptography,COMMERCIAL SOLUTIONS for CLASSIFIED,https://www.nsa.gov/portals/75/documents/resources/everyone/csfc/csfc-customer-handbook.pdf,1,Document,PDF,1.43,0.07,31,0.02,10,US-Gov-Public-Domain,-,Yes,Yes,Yes,,22/06/2026,
ERB readers for PQC report.pdf-attachment-draft PQC_3rd_Round_Report,Cryptography,NISTIR 8413,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413.pdf,1,Document,PDF,0.6,0.25,97,0.274,100,NIST (US GOV),-,Yes,Yes,Yes,,22/06/2026,
GOVPUB-C13-PURL-gpo28851,Cryptography,"NIST SP 800-56C, Recommendation for Key Derivation through Extraction-then-Expansion",https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-56Cr2.pdf,1,Document,PDF,0.4,0.04,17,0.086,38,NIST (US GOV),-,Yes,Yes,Yes,,22/06/2026,
Hybrid key exchange in TLS 1.3,Cryptography,Hybrid key exchange in TLS 1.3,https://www.ietf.org/archive/id/draft-ietf-tls-hybrid-design-16.txt,1,Document,.txt,0.56,0.05,17,,,IETF Revised BSD,-,Yes,,Yes,,22/06/2026,
ML-KEM Post-Quantum Key Agreement for TLS 1.3,Cryptography,ML-KEM Post-Quantum Key Agreement for TLS 1.3,https://www.ietf.org/archive/id/draft-ietf-tls-mlkem-08.txt,1,Document,.txt,0.41,0.02,8,,,IETF Revised BSD,-,Yes,,Yes,,22/06/2026,
NIST.CSWP.04282021,Cryptography,Getting Ready for Post-Quantum Cryptography: Explore Challenges Associated with Adoption and Use of Post-Quantum Cryptographic Algorithms,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.04282021.pdf,1,Document,PDF,0.39,0.02,10,0.023,10,NIST (US GOV),-,Yes,Yes,Yes,,22/06/2026,
NIST.IR.8547.ipd,Cryptography,"NIST IR 8547 initial public draft, Transition to Post-Quantum Cryptography Standards",https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,1,Document,PDF,0.69,0.07,29,0.07,29,NIST (US GOV),-,Yes,Yes,Yes,,22/06/2026,
NIST.SP.800-131Ar2,Cryptography,Transitioning the Use of Cryptographic Algorithms and Key Lengths,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-131Ar2.pdf,1,Document,PDF,0.65,0.08,33,0.072,33,NIST (US GOV),-,Yes,Yes,Yes,,22/06/2026,
NIST.SP.800-56Ar3,Cryptography,Recommendation for Pair-Wise Key Establishment Schemes Using Discrete Lograrithm Cryptography,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-56Ar3.pdf,1,Document,PDF,1.67,0.42,152,0.407,152,NIST (US GOV),-,Yes,Yes,Yes,,22/06/2026,
NIST_Post-Quantum_Cryptography_Standards_A_Comprehensive_Review_of_Theoretical_Foundations_and_Implementations,Cryptography,NIST Post-Quantum Cryptography Standards: A Comprehensive Review of Theoretical Foundations and Implementations,https://eprint.iacr.org/2024/1380.pdf,1,Document,PDF,4.59,0.15,29,,,NIST (US GOV),-,Yes,,Yes,,22/06/2026,
Post-Quantum Cryptography Recommendations for TLS-based Applications,Cryptography,Post-Quantum Cryptography Recommendations for TLS-based Applications,https://eprint.iacr.org/2023/1061.pdf ,1,Document,PDF,0.53,0.05,16,,,IETF Revised BSD,-,Yes,,Yes,,22/06/2026,
Post-Quantum and Post-Quantum_Traditional Hybrid Algorithms for HPKE,Cryptography,Post-Quantum and Post-Quantum/Traditional Hybrid Algorithms for HPKE,https://www.ietf.org/archive/id/draft-westerbaan-cfrg-hpke-xyber768d00-03.txt,1,Document,.txt,0.85,0.15,61,,,IETF Revised BSD,-,Yes,,Yes,,22/06/2026,
Q12a-Chen,Cryptography,Post-­‐Quantum,https://www.itu.int/dms_pub/itu-t/opb/tut/T-TUT-ICTS-2023-5-PDF-E.pdf,1,Document,PDF,0.65,0.02,21,0.099,38,NIST (US GOV),-,Yes,Yes,Yes,,22/06/2026,
Quantum_Computing_Threat_Modelling_on_a_Generic_CPS_Setup_ACNS_Workshop_20210503,Cryptography,Quantum Computing Threat Modelling on a Generic CPS Setup,https://pureadmin.qub.ac.uk/ws/files/240369002/Quantum_Computing_Threat_Modelling_on_a_Generic_CPS_Setup_ACNS_Workshop_20210503.pdf,1,Document,PDF,0.87,0.05,20,0.056,20,Open Access,-,Yes,Yes,Yes,,22/06/2026,
X.509 Extensions for PQC or Composite Certificate Hosting Continuity,Cryptography,X.509 Extensions for PQC or Composite Certificate Hosting Continuity,https://www.ietf.org/archive/id/draft-reddy-lamps-x509-pq-commit-00.txt,1,Document,.txt,0.38,0.03,10,,,IETF Revised BSD,-,Yes,,Yes,,22/06/2026,
sp800-56B,Cryptography,"NIST SP 800-56B, Recommendation for Pair-Wise Key Establishment Schemes Using Integer Factorization Cryptography",https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-56Br2.pdf,1,Document,PDF,1.09,0.26,114,0.332,130,NIST (US GOV),-,Yes,Yes,Yes,,22/06/2026,
sullivan-session-1-paper-pqc2019,Cryptography,Measuring TLS key exchange with post-quantum KEM,https://csrc.nist.gov/CSRC/media/Presentations/measuring-tls-key-exchange-with-post-quantum-kem/images-media/sullivan-session-1-paper-pqc2019.pdf,1,Document,PDF,19.77,0.01,33,0.013,26,NIST (US GOV),-,Yes,Yes,Yes,,22/06/2026,
building-post-quantum-cloud-services-paper,Cryptography,Building Post-Quantum Cloud Services: Deploying FIPS 203:ML-KEM at AWS,https://csrc.nist.gov/csrc/media/Events/2025/workshop-on-guidance-for-kems/documents/papers/building-post-quantum-cloud-services-paper.pdf,1,Document,PDF,0.19,0.01,3,0.006,3,NIST (US GOV),-,Yes,Yes,Yes,,22/06/2026,
nistspecialpublication800-144,Cloud Security,"NIST SP 800-144, Guidelines on Security and Privacy in Public Cloud Computing",https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-144.pdf,1,Document,PDF,1.05,0.24,80,0.226,80,NIST (US GOV),-,Yes,Yes,Yes,,22/06/2026,
nistspecialpublication800-145,Cloud Security,"NIST SP 800-145, The NIST Definition of Cloud Computing",https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-145.pdf,1,Document,PDF,0.08,0.01,7,0.01,6,NIST (US GOV),-,Yes,Yes,Yes,,22/06/2026,
cyberprince,Cloud Security,Cloud Vulnerabilities Dataset,https://www.kaggle.com/datasets/cyberprince/cloud-vulnerabilities-dataset,1,Dataset,JSONL,0.48,0.47,1200,0.418,700,MIT,2025,Yes,Yes,Yes,,22/06/2026,
2021-cloud-misconfigurations,Cloud Security,-,https://github.com/rapid7/data/blob/main/2021-cloud-misconfigurations/2021-cloud-misconfigurations.csv,1,Repository,CSV,0.04,0.08,122,,,No License,2021,Yes,,Yes,,22/06/2026,
Open Quantum Safe,Cryptography,Open Quantum Safe,https://github.com/open-quantum-safe,199,Repository,-,1.26,1.262,199,,,MIT,2026,Yes,,Yes,,22/06/2026,
Awesome Quantum Security,Cryptography,Repository for Quantum and Security related items that go into details about the security concerns surrounding quantum technologies,https://github.com/QuantumVillage/awesome-quantum-security,3,Repository,-,0.02,0.017,3,0.001,1,CC0 / list,2024,Yes,Yes,Yes,,22/06/2026,
circl,Cryptography,-,https://github.com/cloudflare/circl,5,Repository,-,0.02,0.018,5,,,BSD-3-Clause,2026,Yes,,Yes,,22/06/2026,
PQClean,Cryptography,"PQClean, in short, is an effort to collect clean implementations of the post-quantum schemes that are in the NIST post-quantum project.",https://github.com/PQClean/PQClean,3,Repository,-,0.02,0.024,3,0.092,49,public domain / per-scheme,2025,Yes,Yes,Yes,,22/06/2026,
QCircuitBench: A Large-Scale Dataset for Benchmarking Quantum Algorithm Design,Cryptography,-,https://arxiv.org/pdf/2410.07961,1,Document,PDF,5.73,0.144,45,0.105,40,arXiv.org perpetual non-exclusive license (CC BY 4.0),2024,Yes,Yes,Yes,,22/06/2026,
MNISQ: A Large-Scale Quantum Circuit Dataset for Machine Learning on/for Quantum Computers in the NISQ era,Cryptography,-,https://arxiv.org/pdf/2306.16627,1,Document,PDF,2.06,0.07,23,0.069,23,arXiv.org perpetual non-exclusive license (CC BY 4.0),2023,Yes,Yes,Yes,,22/06/2026,
Quantum Algorithm Zoo,Cryptography,-,https://quantumalgorithmzoo.org/,1,Website,HTML,-,0.656,3,,,Public Domain,2025,Yes,,Yes,,22/06/2026,
IBM Quantum,Cryptography,-,https://www.ibm.com/quantum,1,Website,HTML,-,0.2,25,0.558,65,Need Permission for commercial,2026,Yes,Yes,Yes,,22/06/2026,
Google CIRQ Quantum,Cryptography,-,https://quantumai.google/cirq,1,Website,HTML,-,0.748,40,0.2,43,Apache 2.0,2026,Yes,Yes,Yes,,22/06/2026,
NIST CSWP 48 (ipd),Cryptography,Mappings of Migration to PQC Project Capabilities to NIST Cybersecurity Framework 2.0 and to SP 800-53 security/privacy controls (NCCoE).,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.48.ipd.pdf,1,Document,PDF,1.498,0.079,33,0.088,41,Public Domain (NIST),2025,Yes,Yes,Yes,,23/06/2026,
NIST SP 800-227 (ipd),Cryptography,"Recommendations for Key-Encapsulation Mechanisms (KEMs): definitions, properties, applications and secure-use guidance; complements FIPS 203.",https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-227.pdf,1,Document,PDF,1.136,0.135,54,0.148,64,Public Domain (NIST),2025,Yes,Yes,Yes,,23/06/2026,
NIST SP 800-230 (ipd),Cryptography,Additional SLH-DSA Parameter Sets for Limited-Signature Use Cases; six extra parameter sets extending FIPS 205 for fast verification / small signatures.,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-230.ipd.pdf,1,Document,PDF,0.314,0.027,13,0.021,12,Public Domain (NIST),2026,Yes,Yes,Yes,,23/06/2026,
NIST CSWP 39 (final),Cryptography,"Considerations for Achieving Cryptographic Agility: Strategies and Practices — survey of crypto-agility approaches, trade-offs and mechanisms.",https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.39.pdf,1,Document,PDF,1.073,0.118,47,0.11,46,Public Domain (NIST),2025,Yes,Yes,Yes,,23/06/2026,
NIST IR 8545 (final),Cryptography,"Status Report on the Fourth Round of the NIST PQC Standardization Process — selection of HQC for key establishment (BIKE, Classic McEliece, HQC, SIKE evaluated).",https://nvlpubs.nist.gov/nistpubs/ir/2025/NIST.IR.8545.pdf,1,Document,PDF,0.609,0.084,35,0.075,33,Public Domain (NIST),2025,Yes,Yes,Yes,,23/06/2026,
NIST IR 8528 (final),Cryptography,Status Report on the First Round of Additional Digital Signature Schemes for the PQC Standardization Process — 14 candidates advanced to round 2.,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8528.pdf,1,Document,PDF,0.524,0.072,31,0.065,30,Public Domain (NIST),2024,Yes,Yes,Yes,,23/06/2026,
NIST IR 8610 (final),Cryptography,Status Report on the Second Round of Additional Digital Signature Schemes for the PQC Standardization Process — 9 candidates advanced to round 3.,https://nvlpubs.nist.gov/nistpubs/ir/2026/NIST.IR.8610.pdf,1,Document,PDF,0.418,0.096,39,0.088,38,Public Domain (NIST),2026,Yes,Yes,Yes,,23/06/2026,
NIST IR 8240 (final),Cryptography,Status Report on the First Round of the NIST PQC Standardization Process.,https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8240.pdf,1,Document,PDF,0.584,0.082,28,0.073,27,Public Domain (NIST),2019,Yes,Yes,Yes,,23/06/2026,
NIST IR 8309 (final),Cryptography,Status Report on the Second Round of the NIST PQC Standardization Process.,https://nvlpubs.nist.gov/nistpubs/ir/2020/NIST.IR.8309.pdf,1,Document,PDF,0.612,0.118,40,0.105,38,Public Domain (NIST),2020,Yes,Yes,Yes,,23/06/2026,
"NIST IR 8413 (upd1, final)",Cryptography,"Status Report on the Third Round of the NIST PQC Standardization Process — selection of CRYSTALS-Kyber, CRYSTALS-Dilithium, FALCON, SPHINCS+.",https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8413-upd1.pdf,1,Document,PDF,0.895,0.276,103,0.141,57,Public Domain (NIST),2022,Yes,Yes,Yes,,23/06/2026,
NIST SP 1800-38A (NCCoE),Cryptography,"Migration to Post-Quantum Cryptography (vols A): quantum-readiness, cryptographic discovery, and interoperability/performance testing of draft standards.",https://www.nccoe.nist.gov/sites/default/files/2023-04/pqc-migration-nist-sp-1800-38a-preliminary-draft.pdf,1,Document,PDF,0.039,0.003,1,0.013,5,Public Domain (NIST),2023,Yes,Yes,Yes,,23/06/2026,
NIST SP 1800-38B (NCCoE),Cryptography,"Migration to Post-Quantum Cryptography (vols B): quantum-readiness, cryptographic discovery, and interoperability/performance testing of draft standards.",https://www.nccoe.nist.gov/sites/default/files/2023-12/pqc-migration-nist-sp-1800-38b-preliminary-draft.pdf,1,Document,PDF,,,1,0.17,68,Public Domain (NIST),2023,No,Yes,Yes,,23/06/2026,
NIST SP 1800-38C (NCCoE),Cryptography,"Migration to Post-Quantum Cryptography (vols C): quantum-readiness, cryptographic discovery, and interoperability/performance testing of draft standards.",https://www.nccoe.nist.gov/sites/default/files/2023-12/pqc-migration-nist-sp-1800-38c-preliminary-draft.pdf,1,Document,PDF,,,1,0.203,70,Public Domain (NIST),2023,No,Yes,Yes,,23/06/2026,
NIST PQC Project Hub,Cryptography,"NIST Post-Quantum Cryptography standardization project hub — process, candidates, and standards.",https://csrc.nist.gov/projects/post-quantum-cryptography,1,Website,HTML,0.058,0.006,1,,,Public Domain (NIST),2025,Yes,,Yes,,23/06/2026,
NIST PQC Standardization Process,Cryptography,"PQC Standardization Process page: rounds, evaluation criteria, selected algorithms and timeline.",https://csrc.nist.gov/projects/post-quantum-cryptography/post-quantum-cryptography-standardization,1,Website,HTML,0.054,0.004,1,,,Public Domain (NIST),2025,Yes,,Yes,,23/06/2026,
NIST PQC Additional Digital Signatures Project,Cryptography,PQC: Additional Digital Signature Schemes project (onramp) — candidate signature algorithms and round status.,https://csrc.nist.gov/projects/pqc-dig-sig,1,Website,HTML,0.046,0.004,1,,,Public Domain (NIST),2026,Yes,,Yes,,23/06/2026,
NCCoE Migration to PQC (docs),Cryptography,NCCoE Migration to Post-Quantum Cryptography practice guide documentation and FAQ.,https://pages.nist.gov/nccoe-migration-post-quantum-cryptography/,1,Website,HTML,0.001,0,1,,,Public Domain (NIST),2025,Yes,,Yes,,23/06/2026,
NSA CNSA 2.0,Cryptography,"NSA Commercial National Security Algorithm Suite 2.0 — quantum-resistant algorithm requirements and migration timeline for national security systems (ML-KEM, ML-DSA, SLH-DSA, LMS/XMSS).",https://www.nsa.gov/Cybersecurity/Post-Quantum-Cryptography/,1,Website,HTML,0.092,0,1,,,Public Domain (US Gov),2024,Yes,,Yes,,23/06/2026,
ENISA Post-Quantum Cryptography,Cryptography,"ENISA reports on PQC: current state and quantum mitigation, integration study, and anticipating threats / preparing the future.",https://www.enisa.europa.eu/topics/cryptography,1,Website,HTML,0.05,0.005,1,0.005,1,EU Open,2022,Yes,Yes,Yes,,23/06/2026,
Post-Quantum Cryptography and Quantum-Safe Security: A Comprehensive Survey,Cryptography,Comprehensive academic survey of post-quantum cryptography and quantum-safe security.,https://arxiv.org/pdf/2510.10436,1,Document,PDF,0.003,0.002,1,0.123,32,CC by 4.0,2025,Yes,Yes,Yes,,23/06/2026,
A Framework for Migrating to Post-Quantum Cryptography,Cryptography,Security dependency analysis and case studies framework for migrating systems to PQC.,https://arxiv.org/pdf/2307.06520,1,Document,PDF,0.003,0.002,1,0.128,24,CC by 4.0,2023,Yes,Yes,Yes,,23/06/2026,
XQP-Munich,Cryptography,Code for RF/EM side-channel emission-security analysis of QKD.,https://github.com/XQP-Munich/EmissionSecurityQKD,1,Repository,MD,0.006,0.006,1,,,MIT,2026,Yes,,Yes,,23/06/2026,
munich-quantum-toolkit/bench,Cryptography,MQT Bench: ~70k benchmark quantum circuits (2-130 qubits) across 4 abstraction levels; GHZ/QFT/Grover/Shor/QAOA etc.,https://github.com/munich-quantum-toolkit/bench,1,Repository,MD,0.01,0.01,1,,,MIT,2026,Yes,,Yes,,23/06/2026,
merileijona/quantum-circuits-21k,Cryptography,"21,208 natural-language to OpenQASM 2.0 quantum-circuit pairs (1-9 qubits) for text-to-circuit generation.",https://huggingface.co/datasets/merileijona/quantum-circuits-21k,2,Dataset,JSON,11.968,15.95,23136,13.383,18295,MIT,2026,Yes,Yes,Yes,Yes,23/06/2026,
racineai/VDR_Quantum_Circuit_Synthetic,Cryptography,Multimodal synthetic quantum-circuit images + expert technical queries for RAG / vision-language model training.,https://huggingface.co/datasets/racineai/VDR_Quantum_Circuit_Synthetic,1,Dataset,Parquet,1.746,0,1,,,Unknown,2026,Yes,,Yes,Yes,23/06/2026,
samuellimabraz/quantum-assistant,Cryptography,"Multimodal Qiskit dataset (quantum circuits, Bloch spheres, measurement histograms) for specializing VLMs.",https://huggingface.co/datasets/samuellimabraz/quantum-assistant,1,Dataset,Parquet,48.521,0,1,,,Unknown,2026,Yes,,Yes,Yes,23/06/2026,
PennyLane Quantum Datasets,Cryptography,"Curated quantum chemistry & many-body spin datasets (Hamiltonians, ground states, observables) for QML.",https://pennylane.ai/datasets/,1,Dataset,HTML,0.332,0,1,,,Apache-2.0,2026,Yes,,Yes,,23/06/2026,
QuantumLLMInstruct,Cryptography,500k instruction-tuning problem-solution pairs covering quantum computing topics (paper + dataset).,https://arxiv.org/pdf/2412.20956,1,Document,XML,0.003,0.002,1,,,Unknown,2026,Yes,,Yes,,23/06/2026,
tensorflow/quantum,Cryptography,TensorFlow Quantum: library for hybrid quantum-classical ML with quantum-data tutorials.,https://github.com/tensorflow/quantum,1,Repository,MD,0.006,0.006,1,0.026,8,Apache-2.0,2026,Yes,Yes,Yes,,23/06/2026,
Qiskit/qiskit,Cryptography,IBM Qiskit open-source SDK for building/transpiling/simulating quantum circuits.,https://github.com/Qiskit/qiskit,1,Repository,MD,0.012,0.012,1,,,Apache-2.0,2026,Yes,,Yes,,23/06/2026,
open-quantum-safe/liboqs,Cryptography,"C library of quantum-safe KEM & signature algorithms (ML-KEM, ML-DSA, Falcon, SPHINCS+) with common API.",https://github.com/open-quantum-safe/liboqs,1,Repository,MD,0.028,0.028,1,,,MIT,2026,Yes,,Yes,,23/06/2026,
post-quantum-cryptography/KAT,Cryptography,"Independent Known-Answer-Test vectors for ML-KEM (FIPS 203), ML-DSA (FIPS 204) and LMS/XMSS (SP 800-208).",https://github.com/post-quantum-cryptography/KAT,1,Repository,MD,0.001,0.001,1,,,MIT,2026,Yes,,Yes,,23/06/2026,
usnistgov/ACVP-Server,Cryptography,"NIST CAVP automated-validation test vectors (JSON), including ML-KEM and ML-DSA generation/validation cases.",https://github.com/usnistgov/ACVP-Server,1,Repository,MD,0.021,0.021,1,,,Public Domain (NIST),2026,Yes,,Yes,,23/06/2026,
pq-crystals/kyber,Cryptography,Reference & optimized implementation of CRYSTALS-Kyber / ML-KEM (FIPS 203).,https://github.com/pq-crystals/kyber,1,Repository,MD,0.005,0.005,1,0.007,5,Public Domain (CC0) / Apache-2.0,2026,Yes,Yes,Yes,,23/06/2026,
pq-crystals/dilithium,Cryptography,Reference & optimized implementation of CRYSTALS-Dilithium / ML-DSA (FIPS 204).,https://github.com/pq-crystals/dilithium,1,Repository,MD,0.005,0.005,1,0.007,5,Public Domain (CC0) / Apache-2.0,2026,Yes,Yes,Yes,,23/06/2026,
paulmillr/noble-post-quantum,Cryptography,"Auditable, minimal JS implementation of ML-KEM, ML-DSA and SLH-DSA with KAT-based tests.",https://github.com/paulmillr/noble-post-quantum,1,Repository,MD,0.016,0.016,1,0.002,1,MIT,2026,Yes,Yes,Yes,,23/06/2026,
paololapo/QuantumCryptographySecurity,Cryptography,"Experimental QRNG and QKD data analysis (random-number generation, error correction, key distribution).",https://github.com/paololapo/QuantumCryptographySecurity,1,Repository,MD,0.007,0.007,1,0.006,1,Unknown,2026,Yes,Yes,Yes,,23/06/2026,
QNLab-USTC/Key-Management-and-Service-Framework-for-QKD-Networks,Cryptography,QKD network key-management & service framework with simulated key-data files for emulation.,https://github.com/QNLab-USTC/Key-Management-and-Service-Framework-for-QKD-Networks,1,Repository,MD,0.005,0.005,1,,,Unknown,2026,Yes,,Yes,,23/06/2026,
aws-samples/aws-kms-pq-tls-example,Cryptography,Demo code setting up the AWS SDK for Java 2.0 to use post-quantum TLS with KMS.,https://github.com/aws-samples/aws-kms-pq-tls-example,1,Repository,MD,0.004,0.004,1,0.008,4,MIT-0,2026,Yes,Yes,Yes,,23/06/2026,
NIST Post-Quantum Cryptography (nist.gov/pqc),Cryptography,"NIST's top-level PQC landing page — standards, news and migration resources.",https://www.nist.gov/pqc,1,Website,HTML,0.084,0.004,1,,,Public Domain (US Gov),2026,Yes,,Yes,,23/06/2026,
NCSC UK - PQC Migration Timelines,Cryptography,UK National Cyber Security Centre guidance on timelines for migrating to post-quantum cryptography.,https://www.ncsc.gov.uk/guidance/pqc-migration-timelines,1,Website,HTML,0.164,0.03,1,0.03,1,UK OGL,2026,Yes,Yes,Yes,,23/06/2026,
BSI Germany - Quantum Technologies & PQC,Cryptography,German Federal Office for Information Security (BSI) recommendations on quantum tech and post-quantum cryptography.,https://www.bsi.bund.de/EN/Themen/Unternehmen-und-Organisationen/Informationen-und-Empfehlungen/Quantentechnologien-und-Post-Quanten-Kryptografie/,1,Website,HTML,0.113,0.012,1,0.011,1,BSI / Gov DE,2026,Yes,Yes,Yes,,23/06/2026,
ANSSI France - PQC Transition Views,Cryptography,French cybersecurity agency (ANSSI) position paper and views on the post-quantum cryptography transition.,https://cyber.gouv.fr/en/publications/anssi-views-post-quantum-cryptography-transition,1,Website,HTML,0.007,0,1,0,1,Gov FR,2026,Yes,Yes,Yes,,23/06/2026,
EU Coordinated PQC Implementation Roadmap,Cryptography,European Commission coordinated implementation roadmap for the transition to post-quantum cryptography (phased 2026/2030/2035 milestones).,https://digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography,1,Website,HTML,0.049,0.002,1,0.004,2,EU Open,2026,Yes,Yes,Yes,,23/06/2026,
Post-Quantum Cryptography Alliance (PQCA),Cryptography,Linux Foundation PQCA — industry/academia alliance producing high-assurance PQC software and supporting standardization.,https://pqca.org/,1,Website,HTML,0,0,1,,,Project / Open,2026,Yes,,Yes,,23/06/2026,
Open Quantum Safe (project site),Cryptography,OQS project home — open-source liboqs and protocol integrations for quantum-resistant cryptography (part of PQCA).,https://openquantumsafe.org/,1,Website,HTML,0.02,0.003,1,0.065,17,MIT / Project,2026,Yes,Yes,Yes,,23/06/2026,
IETF PQUIP Working Group,Cryptography,IETF 'Post-Quantum Use In Protocols' working group — operational/design guidance for PQC across IETF protocols.,https://datatracker.ietf.org/wg/pquip/about/,1,Website,HTML,0.037,0.004,1,0.004,1,IETF Trust,2026,Yes,Yes,Yes,,23/06/2026,
CRYSTALS (Kyber / Dilithium),Cryptography,Official CRYSTALS site for the lattice-based KEM (Kyber/ML-KEM) and signature (Dilithium/ML-DSA) schemes.,https://pq-crystals.org/,1,Website,HTML,0.01,0.004,1,0.024,7,Project / Open,2026,Yes,Yes,Yes,,23/06/2026,
SPHINCS+ (SLH-DSA),Cryptography,Official site for the stateless hash-based signature scheme standardized as FIPS 205 (SLH-DSA).,https://sphincs.org/,1,Website,HTML,0.009,0.004,1,0.012,5,Project / Open,2026,Yes,Yes,Yes,,23/06/2026,
Falcon (FN-DSA),Cryptography,"Official site for the Falcon lattice-based signature scheme (NIST-selected, FIPS 206 in progress).",https://falcon-sign.info/,1,Website,HTML,0.008,0.006,1,0.109,6,Project / Open,2026,Yes,Yes,Yes,,23/06/2026,
ATIS QSCII - Open-Source PQC Test Framework,Cryptography,ATIS Quantum-Safe Cryptography Interoperability Initiative — open-source framework for PQC interoperability testing.,https://atis.org/initiatives/quantum/qscii-open-source-pqc-test-framework/,1,Website,HTML,0.16,0.004,1,0.004,1,ATIS,2026,Yes,Yes,Yes,,23/06/2026,
ANU Quantum Random Numbers API (QRNG),Cryptography,ANU quantum random number generator JSON API — true randomness from vacuum fluctuations (uint8/uint16/hex16).,https://qrng.anu.edu.au/contact/api-documentation/,1,API,HTML,0.038,0.002,1,0.001,1,ANU / Free tier,2026,Yes,Yes,Yes,,23/06/2026,
NIST ACVP (Automated Cryptographic Validation Protocol),Cryptography,NIST ACVP protocol/API spec for automated validation of crypto implementations incl. ML-KEM/ML-DSA/SLH-DSA.,https://pages.nist.gov/ACVP/,1,API,HTML,0.063,0.019,1,,,Public Domain (US Gov),2026,Yes,,Yes,,23/06/2026,
Open Quantum Safe Interop Test Server,Cryptography,Public TLS test endpoints serving certificates per quantum-safe signature algorithm for PQC interop testing.,https://test.openquantumsafe.org/,1,API,HTML,0.115,0.054,1,0.075,3,MIT / Project,2026,Yes,Yes,Yes,,23/06/2026,
NVD National Vulnerability Database,Vulnerability Management,"Live NVD CVE 2.0 API — every CVE with CVSS severity, weaknesses, references",https://services.nvd.nist.gov/rest/json/cves/2.0,,API,JSON,,,,,,"Public Domain (U.S. Government work, 17 U.S.C. 105)",2025,,,,,30/6/2026,
MITRE Common Weakness Enumeration,Vulnerability Management,MITRE CWE catalog (XML-in-ZIP) — weakness definitions with descriptions,https://cwe.mitre.org/data/xml/cwec_latest.xml.zip,,Feed,XML,,,,,,MITRE CWE Terms of Use (free use with attribution),2025,,,,,30/6/2026,
stream2llm-data,Identity Access and Management,other (HuggingFace),https://huggingface.co/datasets/rbachkaniwala3/stream2llm-data,,Dataset,,,,,,,mit,2026,,,No,,09/07/2026,auto-crawled (HF)
OR_anonymization,Data Security and Privacy,n<1K (HuggingFace),https://huggingface.co/datasets/introvoyz041/OR_anonymization,,Dataset,,,,,,,mit,2026,,,No,,09/07/2026,auto-crawled (HF)
WavCaps,Vulnerability Management,n<1K (HuggingFace),https://huggingface.co/datasets/cvssp/WavCaps,,Dataset,JSONL,,,,,,cc-by-4.0,2023,,,No,,09/07/2026,auto-crawled (HF)
RBAC,Identity Access and Management,"question-answering, n<1K (HuggingFace)",https://huggingface.co/datasets/respai-lab/RBAC,,Dataset,,,,,,,cc-by-4.0,2025,,,No,,09/07/2026,auto-crawled (HF)
d-fire,Incident Response and Forensics,10K<n<100K (HuggingFace),https://huggingface.co/datasets/badsaarow/d-fire,,Dataset,Parquet,,,,,,to-verify,2026,,,No,,09/07/2026,auto-crawled (HF)
dataset-filter-comparison,Data Security and Privacy,1M<n<10M (HuggingFace),https://huggingface.co/datasets/latency-sensitive-bench/dataset-filter-comparison,,Dataset,Parquet,,,,,,to-verify,2026,,,No,,09/07/2026,auto-crawled (HF)
aya_redteaming,Penetration Testing,1K<n<10K (HuggingFace),https://huggingface.co/datasets/CohereLabs/aya_redteaming,,Dataset,JSONL,,,,,,apache-2.0,2026,,,No,,09/07/2026,auto-crawled (HF)
